id,folder_name,album_slug,album_url,cover_thumbnail_filename,smugmug_image_id,parsed_make,parsed_model,parsed_body_style,parsed_color_raw,luxury_tier,is_vehicle,is_duplicate,missing_thumbnail,is_malformed,is_name_slug_mismatch,homepage_worthy,launch_featured,needs_review
21,Chevrolet Corvette C8 Coupe Grey:Black,Chevrolet-Corvette-C8-Coupe-GreyBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Chevrolet-Corvette-C8-Coupe-GreyBlack,DSC_3856-L.jpg,i-h9tMvbD,Chevrolet,Corvette,Coupe,Black,standard,true,false,false,false,false,false,false,false
22,Lamborghini Urus Grey:Brown,Lamborghini-Urus-GreyBrown,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Urus-GreyBrown,DSC_3658-L.jpg,i-2JRFcFF,Lamborghini,Urus,SUV,Brown,ultra-luxury,true,false,false,false,false,true,true,false
23,Lamborghini Huracan EVO Spyder Blu Glauco : Black,Lamborghini-Huracan-EVO-Spyder-Blu-Glauco-Black,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-EVO-Spyder-Blu-Glauco-Black,DSC_3499-L.jpg,i-pXLBqjt,Lamborghini,Huracan,Convertible/Spyder,Black,ultra-luxury,true,false,false,false,false,true,true,false
24,Lamborghini Huracan Orange:Orange:Black,Lamborghini-Huracan-OrangeOrangeBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-OrangeOrangeBlack,DSC_2851-L.jpg,i-V9tWmJM,Lamborghini,Huracan,,Orange:Black,ultra-luxury,true,false,false,false,false,true,false,false
25,Lamborghini Huracan EVO Green:Black,Lamborghini-Huracan-EVO-GreenBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-EVO-GreenBlack,DSC_2686-L.jpg,i-wn7Mw4p,Lamborghini,Huracan,,Black,ultra-luxury,true,false,false,false,false,true,true,false
26,Lamborghini Huracan Yellow:Black,Lamborghini-Huracan-YellowBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-YellowBlack,DSC_2496-L.jpg,i-KVtPd4w,Lamborghini,Huracan,,Black,ultra-luxury,true,false,false,false,false,true,true,false
27,Rolls-Royce Dawn Black:Black,Rolls-Royce-Dawn-BlackBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Rolls-Royce-Dawn-BlackBlack,DSC_2368-L.jpg,i-SXxcCHt,Rolls-Royce,Dawn,,Black,ultra-luxury,true,false,false,false,false,true,true,false
28,Lamborghini Huracan EVO Spyder Nero Nemesis:Red,Lamborghini-Huracan-EVO-Spyder-Nero-NemesisRed-1,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Lamborghini-Huracan-EVO-Spyder-Nero-NemesisRed-1,DSC_2050-L.jpg,i-WCJc3Bg,Lamborghini,Huracan,Convertible/Spyder,Red,ultra-luxury,true,true,false,false,false,false,false,true
29,Decoplage 927,Decoplage-927,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Decoplage-927,DSC_1930-L.jpg,i-NzJb5Wh,,,,,unknown,false,false,false,false,false,false,false,false
30,Ford Mustang Convertible White:Black,Ford-Mustang-Convertible-WhiteBlack,https://miamifever.smugmug.com/Clients/Cars/Premiere-2021/n-hWt5TL/NEW/Ford-Mustang-Convertible-WhiteBlack,DSC_7580-L.jpg,i-9sBHK8n,Ford,Mustang,Convertible,Black,standard,true,false,false,false,false,false,false,false
